File A,File B,Commits together,Coupling %
plugins/epan/sysdig_bridge/packet-sysdig-bridge.c,plugins/epan/sysdig_bridge/sinsp-span.h,3,100.0
epan/dissectors/packet-rf4ce-common.c,epan/dissectors/packet-rf4ce-secur.c,4,100.0
epan/ipv4.c,epan/ipv4.h,3,100.0
ui/qt/browser_sslkeylog_dialog.cpp,ui/qt/browser_sslkeylog_dialog.h,3,100.0
epan/dissectors/packet-rf4ce-common.c,epan/dissectors/packet-rf4ce-secur.h,4,100.0
epan/dissectors/packet-rf4ce-common.h,epan/dissectors/packet-rf4ce-nwk.c,4,100.0
ui/qt/welcome_page.cpp,ui/qt/widgets/learn_card_widget.h,5,100.0
ui/qt/widgets/info_banner_widget.cpp,ui/qt/widgets/info_banner_widget.h,6,100.0
epan/dissectors/packet-rf4ce-common.c,epan/dissectors/packet-rf4ce-common.h,4,100.0
epan/dissectors/packet-rf4ce-common.c,epan/dissectors/packet-rf4ce-nwk.c,4,100.0
epan/dissectors/packet-rf4ce-common.c,epan/dissectors/packet-rf4ce-profile.c,4,100.0
epan/dissectors/packet-rf4ce-common.h,epan/dissectors/packet-rf4ce-profile.c,4,100.0
epan/dissectors/packet-rf4ce-common.h,epan/dissectors/packet-rf4ce-secur.c,4,100.0
epan/dissectors/packet-rf4ce-common.h,epan/dissectors/packet-rf4ce-secur.h,4,100.0
epan/dissectors/packet-tls.c,epan/dissectors/packet-tls.h,5,100.0
epan/dissectors/packet-bpsec-cose.c,epan/dissectors/packet-bpsec-defaultsc.c,3,100.0
epan/dissectors/packet-dtls.c,epan/dissectors/packet-dtls.h,3,100.0
epan/dissectors/packet-dtls.h,epan/dissectors/packet-tls-utils.c,3,100.0
ui/logray/logray_application.cpp,ui/logray/logray_application.h,3,100.0
epan/dissectors/packet-radius.c,epan/dissectors/packet-radius.h,4,100.0
plugins/codecs/G711/G711decode.c,plugins/codecs/G729/G729decode.c,5,100.0
ui/qt/widgets/collapsible_section.cpp,ui/qt/widgets/collapsible_section.h,3,100.0
ui/qt/manuf_dialog.cpp,ui/qt/manuf_dialog.h,6,100.0
ui/qt/graph.cpp,ui/qt/graph.h,4,100.0
ui/qt/utils/workspace_state.cpp,ui/qt/utils/workspace_state.h,3,100.0
ui/qt/widgets/learn_card_widget.cpp,ui/qt/widgets/learn_card_widget.h,5,100.0
ui/qt/welcome_page.cpp,ui/stratoshark/stratoshark_welcome_page.h,3,100.0
ui/stratoshark/stratoshark_welcome_page.cpp,ui/stratoshark/stratoshark_welcome_page.h,3,100.0
epan/dissectors/packet-xml.c,epan/dissectors/packet-xml.h,3,100.0
epan/dissectors/asn1/e2ap/packet-e2ap-template.c,epan/dissectors/packet-e2ap.h,6,100.0
ui/qt/plot.cpp,ui/qt/plot.h,5,100.0
epan/dissectors/packet-e2ap.c,epan/dissectors/packet-e2ap.h,6,100.0
ui/qt/io_graph.cpp,ui/qt/io_graph.h,4,100.0
epan/dissectors/packet-docsis-tlv.c,epan/dissectors/packet-docsis-tlv.h,3,100.0
plugins/epan/falco_bridge/conversation-macros.h,plugins/epan/falco_bridge/packet-falco-bridge.c,3,100.0
ui/qt/io_console_dialog.cpp,ui/qt/io_console_dialog.h,4,100.0
ui/qt/manuf_dialog.cpp,ui/qt/models/manuf_table_model.h,3,100.0
ui/qt/models/manuf_table_model.cpp,ui/qt/models/manuf_table_model.h,3,100.0
epan/dissectors/asn1/lpp/packet-lpp-template.c,epan/dissectors/asn1/lpp/packet-lpp-template.h,7,100.0
wsutil/ws_assert.c,wsutil/ws_assert.h,3,100.0
epan/dissectors/asn1/kerberos/packet-kerberos-template.c,epan/read_keytab_file.c,3,100.0
epan/dissectors/packet-ptp.c,epan/dissectors/packet-ptp.h,4,100.0
ui/qt_logwolf/logwolf_main.cpp,ui/qt_logwolf/logwolf_main_window.h,3,100.0
ui/qt_logwolf/logwolf_main.cpp,ui/qt_logwolf/logwolf_main_window_slots.cpp,3,100.0
ui/qt_logwolf/logwolf_main_window.cpp,ui/qt_logwolf/logwolf_main_window.h,3,100.0
epan/dissectors/asn1/nr-rrc/packet-nr-rrc-template.c,epan/dissectors/asn1/nr-rrc/packet-nr-rrc-template.h,9,100.0
epan/dissectors/asn1/nr-rrc/packet-nr-rrc-template.h,epan/dissectors/packet-nr-rrc.c,9,100.0
epan/dissectors/asn1/nr-rrc/packet-nr-rrc-template.h,epan/dissectors/packet-nr-rrc.h,9,100.0
ui/qt_logwolf/logwolf_main_window.cpp,ui/qt_logwolf/logwolf_main_window_slots.cpp,6,100.0
ui/qt/widgets/base_data_source_view.h,ui/qt/widgets/json_data_source_view.h,4,100.0
ui/qt_logwolf/logwolf_main.cpp,ui/qt_logwolf/logwolf_main_window.cpp,3,100.0
ui/qt_logwolf/logwolf_main_window.h,ui/qt_logwolf/logwolf_main_window_slots.cpp,3,100.0
plugins/codecs/G711/G711decode.c,plugins/codecs/iLBC/iLBCdecode.c,5,100.0
epan/dissectors/packet-kerberos.c,epan/read_keytab_file.c,3,100.0
epan/dissectors/packet-eap.c,epan/dissectors/packet-eap.h,3,100.0
ui/qt_logshark/logwolf_main_window.cpp,ui/qt_logshark/logwolf_main_window.h,3,100.0
ui/qt_logshark/logwolf_main_window.cpp,ui/qt_logshark/logwolf_main_window_slots.cpp,3,100.0
epan/to_str-int.h,epan/to_str.c,4,100.0
epan/to_str-int.h,epan/to_str.h,4,100.0
epan/dissectors/packet-asterix.c,epan/dissectors/packet-asterix.h,7,100.0
epan/dissectors/packet-asap+enrp-common.h,epan/dissectors/packet-asap.c,6,100.0
wiretap/pcapng-netflix-custom.c,wiretap/pcapng-netflix-custom.h,7,100.0
epan/dissectors/x11-enum.h,epan/dissectors/x11-extension-errors.h,5,100.0
ui/logwolf/logwolf_application.cpp,ui/logwolf/logwolf_application.h,3,100.0
ui/logwolf/logwolf_application.cpp,ui/logwolf/logwolf_main.cpp,3,100.0
ui/logwolf/logwolf_application.h,ui/logwolf/logwolf_main.cpp,3,100.0
ui/logwolf/logwolf_main_window.h,ui/logwolf/logwolf_main_window_slots.cpp,3,100.0
wiretap/pcapng-sysdig-int.h,wiretap/pcapng-sysdig.c,3,100.0
wiretap/pcapng-sysdig-int.h,wiretap/pcapng.c,3,100.0
plugins/epan/pluginifdemo/ui/pluginifdemo_main.h,plugins/epan/pluginifdemo/ui/uihandler.cpp,3,100.0
plugins/codecs/G711/G711decode.c,plugins/codecs/G722/G722decode.c,4,100.0
plugins/codecs/G711/G711decode.c,plugins/codecs/G726/G726decode.c,4,100.0
plugins/codecs/G722/G722decode.c,plugins/codecs/G726/G726decode.c,4,100.0
plugins/codecs/G722/G722decode.c,plugins/codecs/G729/G729decode.c,4,100.0
plugins/codecs/G722/G722decode.c,plugins/codecs/iLBC/iLBCdecode.c,4,100.0
plugins/codecs/G726/G726decode.c,plugins/codecs/G729/G729decode.c,4,100.0
ui/qt/export_pdu_dialog.cpp,ui/qt/strip_headers_dialog.cpp,3,100.0
plugins/codecs/G726/G726decode.c,plugins/codecs/iLBC/iLBCdecode.c,4,100.0
ui/qt/lua_debugger_code_view.cpp,ui/qt/lua_debugger_code_view.h,3,100.0
